,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,SA12018_code,NZDep2018,NZDep2018_Score,URPopnSA1_2018,SA22018_code,SA22018_name
259,2,1.0,"257a Campbell Road Greenlane, Auckland",365,1175000,-36.8953984,174.7989407,7005916,30,42,33,12,6,24,Greenlane,129,7005916,6.0,994.0,141,143800,Greenlane South
260,3,2.0,"5c Gollan Road Mount Wellington, Auckland",314,1140000,-36.89394,174.84338449999998,7006363,48,15,30,36,9,21,Mount Wellington,138,7006363,5.0,960.0,159,146000,Mount Wellington North East
261,4,2.0,"40 Constellation Avenue Beachlands, Auckland",872,1245000,-36.8842814,175.0094947,7007062,48,3,15,30,12,9,Beachlands,93,7007062,1.0,858.0,105,156400,Te Puru
262,3,2.0,"10 Elizabeth Drive West Harbour, Auckland",388,680000,-36.8218485,174.6252384,7003777,39,30,21,15,15,9,West Harbour,120,7003777,8.0,1064.0,129,119800,West Harbour West
263,5,3.0,"139d Long Drive St Heliers, Auckland",416,2300000,-36.8603424,174.8532553,7006416,48,12,24,30,18,39,St Heliers,177,7006416,3.0,923.0,177,142700,Saint Heliers West
264,4,3.0,"9b Allendale Road Mount Albert, Auckland",254,2175000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert,162,7004622,5.0,959.0,147,134200,Mount Albert Central
265,4,3.0,"9c Allendale Road Mount Albert, Auckland",254,2775000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert,162,7004622,5.0,959.0,147,134200,Mount Albert Central
266,6,3.0,"34d Arney Crescent Remuera, Auckland",602,6400000,-36.8699368,174.78892050000002,7005846,36,6,6,18,21,30,Remuera,129,7005846,1.0,881.0,129,139400,Remuera West
267,3,2.0,"5 Gerda Place Ranui, Auckland",742,950000,-36.8734548,174.5973287,7003490,36,27,21,24,27,36,Ranui,138,7003490,3.0,926.0,171,124200,Ranui South West
268,3,2.0,"13b Kelsey Crescent Hillsborough, Auckland",186,900000,-36.9201159,174.75969609999999,7007767,78,42,54,36,30,42,Hillsborough,225,7007767,5.0,975.0,270,142900,Hillsborough East (Auckland)
269,4,3.0,"2/7 Ferguson Street Mangere, Auckland",204,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,Mangere East,144,7008282,9.0,1099.0,165,151800,Massey Road West
270,4,3.0,"3/7 Ferguson Street Mangere, Auckland",204,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,Mangere East,144,7008282,9.0,1099.0,165,151800,Massey Road West
271,4,2.0,"71 Roberta Avenue Glendowie, Auckland",902,2450000,-36.8686782,174.8757624,7006644,39,15,9,27,30,27,Glendowie,123,7006644,2.0,907.0,141,145100,Glendowie South
272,3,1.0,"254 West Tamaki Road Glendowie, Auckland",921,1600000,-36.8687323,174.87550480000002,7006644,39,15,9,27,30,27,Wai O Taiki Bay,123,7006644,2.0,907.0,141,145100,Glendowie South
273,3,1.0,"20 Pasadena Avenue Point Chevalier, Auckland",714,1450000,-36.866313500000004,174.7172836,7004584,63,21,21,36,33,18,Point Chevalier,186,7004584,3.0,922.0,189,129900,Point Chevalier East
274,5,3.0,"121 Kawakawa Bay Coast Road Kawakawa Bay, Auckland",1501,1730000,-36.934496700000004,175.1875645,7007094,15,15,3,15,36,33,Kawakawa Bay,117,7007094,3.0,931.0,120,162700,Kawakawa Bay-Orere
275,4,2.0,"44 Searle Drive Patumahoe, Auckland",2566,1250000,-37.18291970000001,174.82619509999998,7010325,90,21,63,48,27,48,Patumahoe,39,7010325,1.0,871.0,291,163800,Patumahoe
276,4,2.0,"2 Mirabell Place Patumahoe, Auckland",695,930000,-37.185345299999994,174.82719430000003,7010325,90,21,63,48,27,48,Patumahoe,39,7010325,1.0,871.0,291,163800,Patumahoe
277,3,1.0,"2/45 Seabrook Avenue New Lynn, Auckland",150,710000,-36.915392600000004,174.6740353,7007358,57,42,27,33,24,33,New Lynn,201,7007358,8.0,1034.0,207,134900,New Lynn Seabrook
278,4,2.0,"42 Parrish Road Sandringham, Auckland",133,1280000,-36.8817233,174.74389299999999,7004990,57,30,15,27,30,15,Sandringham,147,7004990,6.0,977.0,174,136300,Sandringham North
279,2,1.0,"39 Edenvale Crescent Mount Eden, Auckland",359,1400000,-36.871350799999995,174.75929430000002,7005389,30,27,39,21,6,12,Mount Eden,90,7005389,6.0,993.0,141,137800,Mount Eden North
280,4,2.0,"15a Rawhitiroa Road Kohimarama, Auckland",400,1800000,-36.85468770000001,174.8386994,7006292,33,6,12,18,21,36,Kohimarama,135,7006292,1.0,890.0,132,141800,Kohimarama
281,3,2.0,"29 Onetangi Road Onetangi, Auckland",1618,1080000,-36.7933277,175.0791116,7003392,39,9,24,21,24,51,Onetangi,159,7003392,6.0,989.0,171,151100,Onetangi
282,4,2.0,"65 Matairangi Avenue Totara Heights, Auckland",253,720000,-37.001727100000004,174.9036267,7009753,45,33,24,21,30,30,Totara Heights,162,7009753,4.0,941.0,186,159000,Totara Heights
283,4,2.0,"42 Tawini Road Titirangi, Auckland",2856,1270000,-36.931383600000004,174.63750880000003,7007210,54,12,15,30,24,18,Titirangi,150,7007210,2.0,915.0,153,132500,Konini
284,7,4.0,"407 Ormiston Road Flat Bush, Auckland",399,1450000,-36.968270000000004,174.9306696,7009312,126,72,90,51,36,42,Flat Bush,30,7009312,5.0,956.0,414,158600,Ormiston East
285,4,2.0,"297a Mount Albert Road Sandringham, Auckland",115,1000000,-36.9011595,174.7359376,7005056,57,36,30,18,15,24,Wesley,174,7005056,9.0,1128.0,183,139100,Wesley East
286,3,3.0,"15 Malmo Place Manurewa, Auckland",635,710000,-37.020591499999995,174.8684589,7009455,96,39,21,33,15,21,Manurewa,189,7009455,10.0,1218.0,225,158800,Burbank
287,4,2.0,"27 Westminster Gardens Unsworth Heights, Auckland",600,1055000,-36.759316299999995,174.71186469999998,7002590,66,33,39,27,42,51,Unsworth Heights,249,7002590,2.0,906.0,255,119900,Unsworth Heights West
288,5,2.0,"13 Rogers Avenue Eastern Beach, Auckland",883,1560000,-36.87510579999999,174.91412340000002,7006877,30,15,12,18,39,45,Eastern Beach,198,7006877,3.0,929.0,162,148000,Eastern Beach
289,3,2.0,"59/386 Richmond Road Grey Lynn, Auckland",130,720000,-36.8563101,174.730722,7004733,21,39,39,21,21,12,Grey Lynn,210,7004733,5.0,959.0,156,131600,Grey Lynn North
290,5,5.0,"62 Manuel Road Silverdale, Auckland",659,1750000,-36.6050069,174.6740986,7001456,66,21,21,33,18,18,Silverdale,3,7001456,3.0,921.0,174,113300,Millwater South
291,5,4.0,"4 Tawatawa Street Long Bay, Auckland",557,1675000,-36.681093100000005,174.73887919999999,7001929,27,12,21,21,12,21,Long Bay,51,7001929,2.0,909.0,117,116500,Long Bay
292,5,4.0,"35 Bounty Road Long Bay, Auckland",608,2075000,-36.685947600000006,174.7427924,7001929,27,12,21,21,12,21,Long Bay,51,7001929,2.0,909.0,117,116500,Long Bay
293,4,1.0,"10 Fisher Street Surfdale, Auckland",862,1000000,-36.79001470000001,175.02728390000001,7003355,30,24,15,24,21,24,Surfdale,132,7003355,4.0,939.0,144,147600,Surfdale
294,3,1.0,"19 Beresford Avenue Surfdale, Auckland",1055,830000,-36.7893761,175.0281423,7003355,30,24,15,24,21,24,Surfdale,132,7003355,4.0,939.0,144,147600,Surfdale
295,3,2.0,"29d Kamara Road Glen Eden, Auckland",402,710000,-36.9114342,174.6378628,7007169,57,18,36,33,15,18,Glen Eden,150,7007169,7.0,1004.0,174,130100,Glen Eden Rosier
296,3,1.0,"16 School Road Kingsland, Auckland",701,1425000,-36.8718357,174.7366601,7004963,48,54,51,27,12,12,Morningside,183,7004963,5.0,969.0,201,133600,Morningside (Auckland)
297,3,2.0,"Remuera  Auckland City  1072 Remuera, Auckland",256,3275000,-36.8807382,174.7981463,7005843,12,12,6,9,15,33,Remuera,87,7005843,1.0,885.0,87,140000,Remuera Waitaramoa
298,3,1.0,"11d Monteith Crescent Remuera, Auckland",285,880000,-36.8815435,174.8228154,7006221,36,27,27,24,9,33,Remuera,144,7006221,3.0,935.0,168,143900,Remuera Waiatarua
299,5,4.0,"5 Takurua Terrace Orewa, Auckland",452,1175000,-36.580596899999996,174.6722249,7001429,36,6,12,27,18,33,Orewa,144,7001429,1.0,856.0,141,112700,Orewa North
300,2,1.0,"1/42b Candia Road Swanson, Auckland",605,640000,-36.871876,174.5890894,7003489,66,21,33,27,6,9,Swanson,123,7003489,10.0,1162.0,153,124200,Ranui South West
301,3,1.0,"33 Wairau Avenue Avondale, Auckland",1343,1335000,-36.8930616,174.6863771,7004336,66,42,33,27,21,21,Avondale,183,7004336,9.0,1132.0,216,131700,Avondale West (Auckland)
302,5,3.0,"585 Great South Road Drury, Auckland",766,965000,-37.093205600000005,174.9445781,7010149,87,45,57,45,30,45,Rosehill,90,7010149,2.0,916.0,312,163700,Rosehill
303,4,1.0,"50 Oraha Road Kumeu, Auckland",1437,920000,-36.769887100000005,174.5509508,7002193,30,12,12,18,15,15,Huapai,96,7002193,1.0,888.0,108,116100,Kumeu Rural East
304,4,2.0,"12 Robert Might Road Huapai, Auckland",702,1150000,-36.762716299999994,174.5340476,7002170,84,30,54,36,42,42,Kumeu,24,7002170,1.0,857.0,291,115000,Kumeu-Huapai
305,4,2.0,"40j Konini Road Titirangi, Auckland",451,1260000,-36.9270196,174.6492794,7007264,75,18,18,51,33,24,Titirangi,192,7007264,1.0,889.0,228,132500,Konini
306,2,2.0,"223 Green Lane West Epsom, Auckland",123,18000000,-36.8927725,174.77979109999998,7005755,3,9,15,6,15,21,Epsom,90,7005755,4.0,950.0,60,141500,Epsom East
307,5,4.0,"12b Walpole Street Ellerslie, Auckland",505,1600000,-36.8931018,174.8022017,7006015,33,18,24,30,30,21,Ellerslie,156,7006015,7.0,1017.0,150,143300,Ellerslie Central
308,4,2.0,"87 Naylors Drive Mangere, Auckland",221,720000,-36.982632,174.796744,7008064,123,51,48,27,24,21,Mangere,300,7008064,9.0,1117.0,300,151000,Mangere South
309,4,,"14 Hea Road Hobsonville, Auckland",214,1250000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,Hobsonville,9,7002267,2.0,911.0,252,119200,Hobsonville
310,4,2.0,"12 Hea Road Hobsonville, Auckland",191,530000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,Hobsonville,9,7002267,2.0,911.0,252,119200,Hobsonville
311,4,,"16 Hea Road Hobsonville, Auckland",245,1100000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,Hobsonville,9,7002267,2.0,911.0,252,119200,Hobsonville
312,2,1.0,"1/67 Buckland Road Mangere, Auckland",80,580000,-36.9718136,174.8320786,7008292,54,30,39,15,27,39,Mangere East,174,7008292,8.0,1043.0,201,153300,Mangere East
313,3,2.0,"89 Kauri Point Road Laingholm, Auckland",1528,770000,-36.9772792,174.63167719999998,7007165,27,3,18,30,15,12,Laingholm,105,7007165,2.0,909.0,108,137500,Laingholm
314,1,1.0,"3x/15 Nelson Street Auckland Central, Auckland",54,560000,-36.8466718,174.75996809999998,7005288,6,63,60,18,18,18,Auckland Central,186,7005288,4.0,945.0,183,132400,Victoria Park (Auckland)
315,4,1.0,"768 South Titirangi Road Titirangi, Auckland",2342,1360000,-36.9586578,174.6493112,7007292,36,15,9,21,21,33,Titirangi,132,7007292,2.0,905.0,138,136700,Titirangi South
316,3,1.0,"1103 Scenic Drive North Swanson, Auckland",1884,720000,-36.8745465,174.550974,7003426,33,24,15,24,39,36,Swanson,144,7003426,4.0,943.0,156,121100,Swanson Rural
317,4,2.0,"37 Bleakhouse Road Mellons Bay, Auckland",847,2000000,-36.891025799999994,174.92200649999998,7006898,45,27,24,24,42,45,Howick,207,7006898,2.0,918.0,210,150400,Howick West
318,5,3.0,"35 Bleakhouse Road Mellons Bay, Auckland",1629,2300000,-36.890492,174.9226706,7006898,45,27,24,24,42,45,Howick,207,7006898,2.0,918.0,210,150400,Howick West
319,3,1.0,"20 Oriana Avenue Lynfield, Auckland",293,700000,-36.9294147,174.7245278,7007635,66,45,39,30,24,27,Lynfield,186,7007635,5.0,962.0,222,140900,Lynfield South
320,6,4.0,"44 Hughs Way Flat Bush, Auckland",409,1375000,-36.9761204,174.9157279,7009087,117,81,90,60,27,39,Flat Bush,0,7009087,2.0,905.0,423,158100,Ormiston South
321,4,2.0,"27 Mcculloch Road Panmure, Auckland",650,870000,-36.8948354,174.8591483,7006591,21,9,15,3,24,12,Panmure,102,7006591,10.0,1182.0,87,147000,Tamaki
322,4,2.0,"31 Pine Harbour Parade Beachlands, Auckland",815,1425000,-36.885200700000006,174.98930009999998,7007031,57,12,6,45,30,33,Beachlands,171,7007031,1.0,850.0,177,156400,Te Puru
323,4,3.0,"1/117 Shelly Beach Road St Marys Bay, Auckland",275,1825000,-36.8400283,174.7420513,7004858,12,24,36,15,27,45,Saint Marys Bay,156,7004858,2.0,911.0,159,130200,Saint Marys Bay
324,3,1.0,"111 Shelly Beach Road, Auckland",1300 mÂ²,3600000,-36.8402456,174.7421394,7004858,12,24,36,15,27,45,Saint Marys Bay,156,7004858,2.0,911.0,159,130200,Saint Marys Bay
325,3,2.0,"556 Great North Road Grey Lynn, Auckland",179,1575000,-36.8659995,174.7375053,7004944,30,33,33,18,15,15,Grey Lynn,108,7004944,2.0,902.0,135,132100,Grey Lynn West
326,3,1.0,"23/340 Gulf Harbour Drive Gulf Harbour, Auckland",89,410000,-36.6143145,174.8032398,7001718,36,21,30,24,21,36,Gulf Harbour,174,7001718,8.0,1049.0,165,116200,Gulf Harbour South
327,4,2.0,"19 Muirlea Drive Flat Bush, Auckland",644,1100000,-36.9593057,174.9341799,7009287,108,39,72,69,30,33,Flat Bush,285,7009287,2.0,906.0,351,157800,Mission Heights North
328,5,3.0,"9 Melness Place Flat Bush, Auckland",539,1225000,-36.9595355,174.93410569999998,7009287,108,39,72,69,30,33,Flat Bush,285,7009287,2.0,906.0,351,157800,Mission Heights North
329,3,1.0,"161a Don Buck Road Massey, Auckland",451,640000,-36.8495702,174.6102219,7003661,57,21,36,21,15,18,Massey,141,7003661,7.0,1004.0,168,122900,Massey South
330,3,2.0,"70 Fairclough Road Beach Haven, Auckland",1006,870000,-36.7925349,174.6953357,7002430,48,21,24,30,18,21,Beach Haven,183,7002430,8.0,1055.0,168,122400,Beach Haven East
331,3,2.0,"40a Glenfern Road Mellons Bay, Auckland",809,1325000,-36.8906925,174.93480780000002,7006944,27,9,12,12,12,45,Mellons Bay,102,7006944,3.0,931.0,117,150600,Mellons Bay
332,3,1.0,"2/26 Caravelle Close Mangere, Auckland",80,500000,-36.9624846,174.793161,7008027,93,39,18,24,24,24,Mangere,228,7008027,10.0,1216.0,225,148900,Mangere West
333,3,1.0,"86 Williamson Avenue Grey Lynn, Auckland",556,1950000,-36.862159399999996,174.74280919999998,7004935,33,39,39,21,27,9,Grey Lynn,162,7004935,4.0,946.0,165,132800,Grey Lynn Central
334,5,2.0,"31 Elgin Street Grey Lynn, Auckland",471,2075000,-36.8632281,174.7416011,7004935,33,39,39,21,27,9,Grey Lynn,162,7004935,4.0,946.0,165,132800,Grey Lynn Central
335,4,3.0,"24/21 Birdwood Crescent Parnell, Auckland",195,1450000,-36.8589527,174.7800434,7005693,30,51,48,21,15,15,Parnell,171,7005693,5.0,956.0,180,136400,Parnell West
336,4,2.0,"2284d Hunua Road Papakura, Auckland",1603,740000,-37.0793779,175.0703464,7010283,57,30,24,27,21,39,Hunua,162,7010283,3.0,929.0,207,165200,Hunua
337,4,2.0,"38 Hadley Wood Drive Wattle Downs, Auckland",574,1000000,-37.052032000000004,174.87727890000002,7009609,117,36,69,57,51,42,Wattle Downs,327,7009609,3.0,926.0,381,161100,Wattle Downs West
338,3,1.0,"1/12 Marewa Street Te Atatu South, Auckland",89,420000,-36.8549925,174.643131,7003952,45,30,21,21,18,21,Te Atatu South,165,7003952,7.0,1006.0,156,127000,Te Atatu South-Central
339,4,1.0,"4 Paton Avenue Te Atatu South, Auckland",814,840000,-36.855803,174.642841,7003952,45,30,21,21,18,21,Te Atatu South,165,7003952,7.0,1006.0,156,127000,Te Atatu South-Central
340,3,1.0,"1/9 Marewa Street Te Atatu South, Auckland",90,600000,-36.8547334,174.643806,7003952,45,30,21,21,18,21,Te Atatu South,165,7003952,7.0,1006.0,156,127000,Te Atatu South-Central
341,3,1.0,"3/56 Watts Road Manurewa, Auckland",80,450000,-37.0165899,174.8721467,7009446,75,54,24,27,15,30,Manurewa,213,7009446,9.0,1114.0,228,159200,Homai West
342,5,3.0,"6 Maraeariki Avenue Orewa, Auckland",581,1100000,-36.5815524,174.6899519,7001488,24,12,9,12,15,36,Orewa,117,7001488,7.0,1011.0,111,113000,Orewa Central
343,2,1.0,"6/723 Remuera Road Remuera, Auckland",79,820000,-36.8791334,174.8226494,7006220,33,24,27,30,6,18,Remuera,141,7006220,4.0,953.0,132,143900,Remuera Waiatarua
344,3,1.0,"29 Dewhurst Place Favona, Auckland",360,660000,-36.952785,174.803846,7008085,57,24,27,18,21,27,Favona,165,7008085,10.0,1168.0,177,148200,Favona North
345,5,2.0,"2 San Luis Place Golflands, Auckland",650,1325000,-36.9230544,174.9049592,7009011,39,27,30,21,27,27,Golflands,171,7009011,2.0,909.0,171,153100,Golflands
346,4,2.0,"5 Juliet Avenue Howick, Auckland",675,1150000,-36.8975677,174.9186666,7006910,48,33,30,21,24,21,Howick,168,7006910,6.0,999.0,177,150400,Howick West
347,4,3.0,"1/17 Lydia Avenue Northcote, Auckland",150,990000,-36.802913700000005,174.73397649999998,7002962,27,15,36,18,15,30,Northcote,132,7002962,2.0,905.0,147,127300,Northcote South (Auckland)
348,5,3.0,"12 Camp X Place Whenuapai, Auckland",315,1100000,-36.7905871,174.61712250000002,7002238,66,162,63,24,12,21,Whenuapai,126,7002238,3.0,924.0,351,117000,Whenuapai
349,2,2.0,"4b/15 Fleet Street Eden Terrace, Auckland",103,750000,-36.8637961,174.7559946,7005364,15,57,72,18,6,6,Eden Terrace,159,7005364,4.0,940.0,174,136000,Eden Terrace
350,4,3.0,"2/32 Gills Road Bucklands Beach, Auckland",450,1280000,-36.889838700000006,174.91784769999998,7006891,39,12,18,21,33,30,Bucklands Beach,153,7006891,3.0,927.0,150,149700,Bucklands Beach South
351,3,2.0,"2/29 Carlisle Road Torbay, Auckland",140,900000,-36.709942299999994,174.740653,7002059,36,33,33,30,30,51,Torbay,204,7002059,3.0,935.0,207,117900,Waiake
352,4,2.0,"15 Markham Place Bucklands Beach, Auckland",974,1380000,-36.859434,174.90194440000002,7006767,33,12,9,21,30,30,Bucklands Beach,135,7006767,6.0,983.0,138,146400,Bucklands Beach North
353,3,2.0,"Lot 2/166 Ennis Avenue Pakuranga, Auckland",178,1195000,-36.9193537,174.8890656,7008816,75,39,51,30,27,33,Pakuranga Heights,231,7008816,6.0,986.0,258,151500,Pakuranga Heights South West
354,3,2.0,"86 Holly Street Avondale, Auckland",1077,1025000,-36.887128499999996,174.69160290000002,7004332,33,30,24,27,12,18,Avondale,138,7004332,7.0,1012.0,147,132000,Avondale North (Auckland)
355,4,1.0,"94A Holly Street, Auckland",550 mÂ²,850000,-36.8874761,174.6913819,7004332,33,30,24,27,12,18,Avondale,138,7004332,7.0,1012.0,147,132000,Avondale North (Auckland)
356,4,3.0,"200 Ridge Road Howick, Auckland",417,1260000,-36.9002271,174.9206737,7006919,30,15,12,15,18,57,Howick,147,7006919,6.0,996.0,147,152000,Howick Central
357,3,1.0,"2/14 Ruth Street Manurewa, Auckland",80,500000,-37.0172609,174.88889269999999,7009658,78,90,48,24,24,30,Manurewa,252,7009658,9.0,1100.0,291,160100,Manurewa Central
358,5,4.0,"364 Pinecrest Drive Gulf Harbour, Auckland",1047,3000000,-36.6246261,174.80340859999998,7001722,27,18,27,12,9,33,Gulf Harbour,39,7001722,1.0,886.0,129,116200,Gulf Harbour South
359,4,2.0,"79a Atkin Avenue Mission Bay, Auckland",576,1900000,-36.855118100000006,174.82824440000002,7006174,39,15,27,33,18,42,Mission Bay,147,7006174,2.0,918.0,171,141100,Mission Bay
360,3,1.0,"95 Keegan Drive Massey, Auckland",335,540000,-36.8444566,174.6231946,7003825,57,24,24,30,15,12,Massey,153,7003825,10.0,1143.0,165,122500,Massey East
361,3,1.0,"5/108 Station Road Papatoetoe, Auckland",80,480000,-36.973832,174.8415098,7008409,63,39,39,21,15,12,Papatoetoe,168,7008409,9.0,1087.0,189,154800,Papatoetoe West
362,3,1.0,"3/85a Tidal Road Mangere, Auckland",70,490000,-36.9799062,174.8256274,7008227,60,30,27,21,12,27,Mangere,147,7008227,10.0,1191.0,177,152800,Mangere South East
363,4,1.0,"40 Harlston Road Mount Albert, Auckland",129,1775000,-36.8950614,174.71025649999999,7004514,33,21,15,27,15,21,Mount Albert,111,7004514,3.0,937.0,126,135500,Owairaka West
364,3,1.0,"1/31 Thomas Road Mangere, Auckland",80,500000,-36.9733379,174.7957699,7008037,96,27,39,33,27,24,Mangere,237,7008037,9.0,1130.0,249,150200,Mangere Central
365,3,1.0,"21 Fairmount Road Titirangi, Auckland",495,690000,-36.919883899999995,174.66132109999998,7007316,24,6,24,15,6,15,Titirangi,93,7007316,5.0,968.0,105,135400,West Lynn
366,4,2.0,"142 Hill Road The Gardens, Auckland",848,890000,-37.01195560000001,174.9131413,7009845,45,39,24,21,36,27,Manurewa,174,7009845,4.0,943.0,195,159300,The Gardens (Auckland)
367,2,1.0,"5/103 Hinemoa Street Birkenhead, Auckland",90,630000,-36.8170459,174.7326281,7004846,24,18,15,15,30,30,Birkenhead,123,7004846,2.0,907.0,135,127400,Birkenhead South
368,3,1.0,"25/955 Mount Eden Road Three Kings, Auckland",86,490000,-36.9018811,174.75893530000002,7005469,9,21,15,18,3,42,Three Kings,156,7005469,7.0,1000.0,111,141200,Three Kings East
369,4,4.0,"48 Kings Road Three Kings, Auckland",697,1425000,-36.8988174,174.74959219999997,7005232,24,33,27,15,12,9,Mount Roskill,102,7005232,7.0,999.0,117,139700,Mount Roskill North
370,5,5.0,"50 Braemar Road Rothesay Bay, Auckland",415,2300000,-36.725024700000006,174.7481043,7002080,48,39,24,30,33,27,Rothesay Bay,186,7002080,2.0,913.0,198,119000,Rothesay Bay
371,3,1.0,"1/112 New Windsor Road New Windsor, Auckland",73,650000,-36.9028184,174.709662,7004527,45,30,30,21,21,24,New Windsor,153,7004527,7.0,1015.0,168,136600,New Windsor North
372,3,1.0,"2/28 Gloucester Road Manurewa, Auckland",90,495000,-37.0155102,174.87758159999998,7009543,66,45,27,12,27,30,Manurewa,144,7009543,10.0,1193.0,198,159200,Homai West
373,5,4.0,"17 Greenbank Drive St Johns, Auckland",740,2625000,-36.8754184,174.8349235,7006333,45,24,6,33,27,39,Saint Johns,171,7006333,1.0,889.0,171,143700,Saint Johns West
374,5,2.0,"25 Seymour Avenue Papatoetoe, Auckland",809,1100000,-36.96529879999999,174.85797340000002,7008515,78,63,60,27,30,48,Papatoetoe,258,7008515,7.0,1020.0,306,154100,Dingwall
375,5,3.0,"20 Clive Road Epsom, Auckland",1310,3900000,-36.8735266,174.7670636,7005561,90,33,12,15,27,45,Epsom,177,7005561,2.0,918.0,219,138700,Epsom North
376,4,3.0,"1b Roby Street Te Atatu Peninsula, Auckland",303,1160000,-36.83828270000001,174.65450969999998,7004216,39,12,24,24,12,24,Te Atatu Peninsula,123,7004216,7.0,1029.0,138,124500,Te Atatu Peninsula Central
377,3,1.0,"31 Hereford Street Te Atatu Peninsula, Auckland",675,980000,-36.8384958,174.65464369999998,7004216,39,12,24,24,12,24,Te Atatu Peninsula,123,7004216,7.0,1029.0,138,124500,Te Atatu Peninsula Central
378,4,2.0,"6 Mansion Court West Harbour, Auckland",502,1150000,-36.81402620000001,174.6412919,7002280,60,36,18,36,42,36,West Harbour,201,7002280,1.0,886.0,213,120300,West Harbour Clearwater Cove
379,3,1.0,"3a Mclennan Road Mount Wellington, Auckland",80,580000,-36.9273044,174.8495935,7008448,57,45,33,21,18,21,Mount Wellington,186,7008448,10.0,1175.0,195,149500,Mount Wellington South East
380,3,1.0,"6a Dennis Road Papatoetoe, Auckland",353,1450000,-36.9773939,174.87510680000003,7008765,33,39,21,12,21,3,Papatoetoe,144,7008765,10.0,1166.0,135,155600,Papatoetoe East
381,5,3.0,"10 Paripari Street Flat Bush, Auckland",325,660000,-36.98017120000001,174.9361137,7009314,21,18,9,15,6,6,Flat Bush,93,7009314,7.0,1010.0,78,158600,Ormiston East
382,7,5.0,"17 Golden Avenue Flat Bush, Auckland",398,700000,-36.9766548,174.9241208,7009314,21,18,9,15,6,6,Flat Bush,93,7009314,7.0,1010.0,78,158600,Ormiston East
383,7,5.0,"7 Ballinabreen Road Flat Bush, Auckland",428,1475000,-36.9806461,174.9295512,7009314,21,18,9,15,6,6,Flat Bush,93,7009314,7.0,1010.0,78,158600,Ormiston East
384,5,4.0,"27 Paripari Street Flat Bush, Auckland",325,660000,-36.9794367,174.9359015,7009314,21,18,9,15,6,6,Flat Bush,93,7009314,7.0,1010.0,78,158600,Ormiston East
385,5,4.0,"28 Matahae Drive Flat Bush, Auckland",325,660000,-36.979867299999995,174.935215,7009314,21,18,9,15,6,6,Flat Bush,93,7009314,7.0,1010.0,78,158600,Ormiston East
386,4,2.0,"1/12 Shera Road Remuera, Auckland",180,1625000,-36.873373,174.79337560000002,7005832,57,27,15,18,30,27,Remuera,183,7005832,4.0,937.0,180,140000,Remuera Waitaramoa
387,5,3.0,"46 St Marys Road St Marys Bay, Auckland",632,4650000,-36.845758200000006,174.745697,7005079,30,15,24,36,39,51,Saint Marys Bay,192,7005079,2.0,902.0,198,130200,Saint Marys Bay
388,3,1.0,"3 Midgley Road West Harbour, Auckland",383,750000,-36.8200841,174.6256524,7003775,69,21,42,18,9,6,West Harbour,126,7003775,8.0,1047.0,162,119800,West Harbour West
389,3,2.0,"67 Middleton Road Remuera, Auckland",391,2125000,-36.868233000000004,174.7830276,7005719,24,24,18,18,24,12,Remuera,135,7005719,1.0,885.0,123,139400,Remuera West
390,3,2.0,"309 Victoria Street West Pukekohe, Auckland",314,280000,-37.2066601,174.88451919999997,7010468,87,60,81,45,39,42,Pukekohe,186,7010468,5.0,957.0,345,165500,Pukekohe West
391,4,2.0,"7 Tamatea Drive Snells Beach, Auckland",556,740000,-36.414085799999995,174.7242024,7001328,57,15,27,33,30,105,Snells Beach,219,7001328,5.0,961.0,261,111700,Snells Beach
392,3,2.0,"17 Matangi Terrace Snells Beach, Auckland",810,810000,-36.4148331,174.7238749,7001328,57,15,27,33,30,105,Snells Beach,219,7001328,5.0,961.0,261,111700,Snells Beach
393,6,3.0,"89 Pacific Parade Army Bay, Auckland",852,1325000,-36.6026993,174.802068,7001700,45,15,24,33,39,54,Army Bay,198,7001700,1.0,894.0,210,116000,Army Bay
394,3,1.0,"28 Te Arawa Street Orakei, Auckland",141,1300000,-36.8531726,174.82464330000002,7006154,27,24,24,15,18,24,Orakei,114,7006154,5.0,961.0,135,140100,Orakei East
395,4,1.0,"26 Donzella Place Conifer Grove, Auckland",808,840000,-37.049152500000005,174.9108138,7009903,33,15,12,15,21,33,Conifer Grove,210,7009903,3.0,931.0,132,161800,Conifer Grove West
396,5,3.0,"26a Vanessa Crescent Glendowie, Auckland",1148,4000000,-36.8685549,174.8798402,7006673,45,15,9,27,21,45,Glendowie,153,7006673,2.0,898.0,165,145100,Glendowie South
397,3,2.0,"42a Elizabeth Street Tuakau, Auckland",985,1425000,-37.2612474,174.93893880000002,7010984,30,12,15,18,15,27,Tuakau,93,7010984,5.0,956.0,117,170000,Tuakau North
